,a,ä,ɑ,ɒ,æ,b,ḇ,β,c,č,ɔ,ɕ,ç,d,ḏ,,ḍ,,ð,e,ə,ɚ,ɛ,ɝ,f,g,ḡ,h,ʰ,ḥ,ḫ,ẖ,i,ɪ,ỉ,ɨ,j,,ʲ,ǰ,k,ḳ,ḵ,l,ḷ,ɬ,ɫ,m,n,ŋ,ṇ,ɲ,ɴ,o,ŏ,ɸ,θ,p,p̅,þ,,q,r,ɹ,ɾ,ʀ,ʁ,ṛ,s,š,ś,,,ṣ,,ʃ,t,ṭ,,ṯ,,ʨ,tʂ,u,ʊ,ŭ,ü,v,ʌ,ɣ,w,ʍ,x,χ,y,,ʸ,ʎ,z,ẓ,,ž,ʒ,’,‘,ʔ,ʕ,,$
^,0.008553177113725009,0.0,0.0060501827339455175,0.009904486962931114,0.021866650287153344,0.06486287276189306,0.0,0.0,0.0,0.0,0.007201867264518903,0.0,0.0,0.07823776911028531,0.0,0.0,0.0,0.0,0.0005835201621571819,0.00572771106538497,0.011209729430914283,0.0,0.027962900402321796,0.0,0.04956850219587851,0.0,0.0,0.03817450324007248,0.0,0.0,0.0,0.0,0.0031786493043825434,0.04255090445625134,0.0,0.0,0.006096250115168453,0.0,0.0,0.0,0.09422315039464389,0.0,0.0,0.0370228187094991,0.0,1.535579374097847e-05,0.0,0.05351494118730997,0.021052793218881483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006449433371210958,0.07591904425539756,0.0,0.0,0.0,0.0,7.677896870489236e-05,0.06977672675900617,0.0,0.0,0.0,0.0,0.11734897576855748,0.0,0.0,0.0,0.0,0.0,0.0,0.01256103928012039,0.05812167930960351,0.0,0.0,0.0,0.0,0.0,0.0,0.000982770799422622,0.0003531832560425048,0.0,0.0,0.01486440834126716,0.0275329381775744,0.0,0.02621233991585025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002119099536255029,0.0,0.0,0.0,3.071158748195694e-05,0.0,0.0,0.0,0.0,0.0,9.213476244587083e-05
a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7985302430751837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20146975692481628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ä,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ɑ,0.0005006257822277847,0.0,0.00025031289111389235,0.0005006257822277847,0.00025031289111389235,0.032290362953692114,0.0,0.0,0.0,0.0,0.0005006257822277847,0.0,0.0,0.10963704630788486,0.0,0.0,0.0,0.0,0.007008760951188986,0.0012515644555694619,0.006758448060075094,0.0,0.0,0.0,0.04230287859824781,0.0,0.0,0.000750938673341677,0.0,0.0,0.0,0.0,0.0,0.0025031289111389237,0.0,0.0,0.003504380475594493,0.0,0.00025031289111389235,0.0,0.08360450563204005,0.0,0.0,0.02528160200250313,0.0,0.0,0.0,0.06708385481852315,0.15018773466833543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014518147684605758,0.020775969962453067,0.0,0.0,0.0,0.0,0.0005006257822277847,0.022027534418022528,0.0,0.0,0.0,0.0,0.16595744680851063,0.0,0.0,0.0,0.0,0.0,0.0,0.007759699624530663,0.11589486858573217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018022528160200252,0.0,0.0,0.001501877346683354,0.0,0.00025031289111389235,0.0,0.0,0.0,0.0,0.0,0.01777221526908636,0.0,0.0,0.0,0.007509386733416771,0.0,0.0,0.0,0.0,0.0,0.07309136420525657
ɒ,0.0,0.0,0.00013241525423728814,0.00026483050847457627,0.00013241525423728814,0.0524364406779661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06792902542372882,0.0,0.0,0.0,0.0,0.0007944915254237289,0.0,0.005296610169491525,0.0,0.0,0.0,0.031117584745762712,0.0,0.0,0.0006620762711864406,0.0,0.0,0.0,0.0,0.001853813559322034,0.003707627118644068,0.0,0.0,0.0,0.0,0.0,0.0,0.10527012711864407,0.0,0.0,0.14022775423728814,0.0,0.0,0.0,0.07997881355932203,0.14883474576271186,0.028072033898305086,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.08077330508474577,0.0,0.0,0.0,0.0,0.0,0.04409427966101695,0.0,0.0,0.0,0.0,0.06567796610169492,0.0,0.0,0.0,0.0,0.0,0.0,0.013771186440677966,0.08275953389830508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007944915254237288,0.00026483050847457627,0.0,0.001059322033898305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011122881355932203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018008474576271187
æ,0.00037226617031177293,0.0,0.00037226617031177293,0.00037226617031177293,0.0005583992554676594,0.03862261516984644,0.0,0.0,0.0,0.0,0.00018613308515588647,0.0,0.0,0.04755700325732899,0.0,0.0,0.0,0.0,0.001582131223825035,0.00046533271288971617,0.007445323406235459,0.0,0.0,0.0,0.020660772452303397,0.0,0.0,0.0018613308515588647,0.0,0.0,0.0,0.0,0.0009306654257794323,0.002791996277338297,0.0,0.0,0.0007445323406235459,0.0,0.0,0.0,0.1375523499302001,0.0,0.0,0.0886924150767799,0.0,0.0,0.0,0.08683108422522104,0.18259655653792461,0.04001861330851559,0.0,0.0,0.0,0.0,0.0,0.0,0.006235458352722196,0.056584457887389486,0.0,0.0,0.0,0.0,9.306654257794323e-05,0.05537459283387622,0.0,0.0,0.0,0.0,0.0385295486272685,0.0,0.0,0.0,0.0,0.0,0.0,0.02615169846440205,0.10739879013494649,0.0,0.0,0.0,0.0,0.0,0.0,0.0005583992554676594,0.0,0.0,0.0,0.018520241973010703,0.0,0.0,0.0006514657980456026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014332247557003257,0.0,0.0,0.0,0.0006514657980456026,0.0,0.0,0.0,0.0,0.0,0.01470451372731503
b,0.03606333072713057,0.0,0.024433150899139954,0.03508600469116497,0.07212666145426114,0.001563721657544957,0.0,0.0,0.0,0.0,0.03860437842064113,0.0,0.0,0.0218921032056294,0.0,0.0,0.0,0.0,0.0,0.02668100078186083,0.18109851446442532,0.0,0.03205629397967162,0.0,0.000488663017982799,0.0,0.0,0.0008795934323690383,0.0,0.0,0.0,0.0,0.029710711493354185,0.1050625488663018,0.0,0.0,0.01602814698983581,0.0,0.0,0.0,0.0030297107114933544,0.0,0.0,0.09695074276778734,0.0,0.0,0.0,0.0028342455043002344,0.006157154026583268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022478498827208757,0.0008795934323690383,0.0,0.0,0.0,0.0,0.0,0.09294370602032838,0.0,0.0,0.0,0.0,0.023944487881157155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048866301798279905,0.0,0.0,0.0,0.0,0.0,0.0,0.011630179827990618,0.018275996872556686,0.0,0.0,0.0011727912431587178,0.039386239249413604,0.0,0.0006841282251759187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017103205629397968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056098514464425334
ḇ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
β,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
