,a,ä,ɑ,ɒ,æ,b,ḇ,β,c,č,ɔ,ɕ,ç,d,ḏ,,ḍ,,ð,e,ə,ɚ,ɛ,ɝ,f,g,ḡ,h,ʰ,ḥ,ḫ,ẖ,i,ɪ,ỉ,ɨ,j,,ʲ,ǰ,k,ḳ,ḵ,l,ḷ,ɬ,ɫ,m,n,ŋ,ṇ,ɲ,ɴ,o,ŏ,ɸ,θ,p,p̅,þ,,q,r,ɹ,ɾ,ʀ,ʁ,ṛ,s,š,ś,,,ṣ,,ʃ,t,ṭ,,ṯ,,ʨ,tʂ,u,ʊ,ŭ,ü,v,ʌ,ɣ,w,ʍ,x,χ,y,,ʸ,ʎ,z,ẓ,,ž,ʒ,’,‘,ʔ,ʕ,,$
^,0.1443833037139218,0.0,0.0,0.0,0.0,0.04142857862065841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13776634395772394,0.0,0.0,0.0,0.0,0.0,0.16467385923311736,0.0,0.0,0.0,0.0,0.02500281090732732,0.013478929942120481,0.0,0.0,0.0,0.0,0.0,0.0,0.0374530326753293,0.0,0.0,0.0,0.00028696427043110087,0.0,0.0,0.0,0.0747063650688966,0.0,0.0,0.018510034519620133,0.0,0.0,0.0,0.04592099588348915,0.008055137415609849,0.0,0.0,1.6781536282520518e-05,0.0,0.01618243543723454,0.0,0.0,0.012911714015771288,0.06275455492848549,0.0,0.0,0.0,0.0,0.08176300107569648,0.0,0.0,0.0,0.0,0.0,0.04730379447316884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04894167241434284,0.0,0.0,0.0,0.0,0.0,0.0,0.006269581955149666,0.0,0.0,0.0,0.0,0.0,0.0,0.00039604425626748425,0.0,0.010102484842077352,0.0,0.0,0.0,0.0,0.0016915788572780684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.001368678661849068,0.0,0.0,0.0,0.0,0.0,0.0,0.060668699971180774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056161823252705204,0.0017263374891223842,0.0,0.0,0.0,0.0,0.006690379165293764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032453079573926014,0.0,0.0,0.0,3.0039586542640725e-05,0.0,0.0,0.0,0.018187092177410043,0.0,0.0,0.04189865206742761,0.0,0.0,0.0,0.053747391484340455,0.10696533525586688,0.005531977609243181,0.0,0.005856780638735484,0.0,0.0014803883743045132,0.0,0.0,0.017721478585999113,0.019771680367534343,0.0,0.0,0.0,0.0,0.010505406656209136,0.0,0.2169815660199707,0.0,0.0,0.0,0.13848624890989156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027978119916152004,0.0,0.0,0.0,0.0,0.0,0.0,0.0054596948541249515,0.0,0.0,0.0,0.0,0.0,0.010128034350267212,0.00020276720916282488,0.0,0.009353576259714756,0.0,0.0,0.0,0.0,0.0038309860212661496,0.001551732392343285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14526205314941595
ä,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ɑ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ɒ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
æ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b,0.29271070615034167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.380585246188891e-05,0.16284825652707202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1105659716138076,0.0,0.0,0.0,0.03432188540388996,0.0,0.0,0.0,0.0,0.0,0.0,0.03156211669879096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16722884177326092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1444059926406168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05241370247065008,0.0,0.0,0.0,0.0,0.0,0.0,0.003854915016646224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.380585246188891e-05
ḇ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
β,0.46492497048083015,0.0,0.0,0.0,0.0,0.0,0.0,0.0023928121798831746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019392726163759062,0.10920137938584487,0.0,0.0,0.0,0.0,2.3458942940031122e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10740286042710916,0.0,0.0,0.0,0.040482315866847036,0.0,0.0,0.0,0.00019549119116692601,0.0,0.0,0.04792662042648358,0.0,0.0,0.0,0.000563014630560747,0.0007037682882009336,0.0,0.0,0.0,0.0,0.08964444062150559,0.0,0.0,0.00045353956350726834,9.383577176012449e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.08111320503898094,0.0,0.0,0.0,0.013215204522884199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030027446963239836,0.0,0.0,0.0,0.0,0.0,0.0,0.03257665209605655,0.0,0.0,0.0,0.0,0.0,1.563929529335408e-05,0.0027759749145703496,0.0,0.0012433239758216496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010947506705347856
c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
