,a,ä,ɑ,ɒ,æ,b,ḇ,β,c,č,ɔ,ɕ,ç,d,ḏ,,ḍ,,ð,e,ə,ɚ,ɛ,ɝ,f,g,ḡ,h,ʰ,ḥ,ḫ,ẖ,i,ɪ,ỉ,ɨ,j,,ʲ,ǰ,k,ḳ,ḵ,l,ḷ,ɬ,ɫ,m,n,ŋ,ṇ,ɲ,ɴ,o,ŏ,ɸ,θ,p,p̅,þ,,q,r,ɹ,ɾ,ʀ,ʁ,ṛ,s,š,ś,,,ṣ,,ʃ,t,ṭ,,ṯ,,ʨ,tʂ,u,ʊ,ŭ,ü,v,ʌ,ɣ,w,ʍ,x,χ,y,,ʸ,ʎ,z,ẓ,,ž,ʒ,’,‘,ʔ,ʕ,,$
^,0.14438596903413764,0.0,0.0,0.0,0.0,0.04142934339349066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377688871286597,0.0,0.0,0.0,0.0,0.0,0.16467689911761052,0.0,0.0,0.0,0.0,0.025003272459983687,0.013469109655938592,0.0,0.0,0.0,0.0,0.0,0.0,0.037453724059461437,0.0,0.0,0.0,0.0002869695678003363,0.0,0.0,0.0,0.07470774415068755,0.0,0.0,0.0185103762154252,0.0,0.0,0.0,0.04591345266344679,0.00805528611369365,0.0,0.0,1.6781846070195106e-05,0.0,0.01618273416548914,0.0,0.0,0.0,0.0627557133794946,0.0,0.0,0.0,0.0,0.0817645104232046,0.0,0.0,0.0,0.0,0.0,0.06021662006907408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048942575879117,0.0,0.0,0.0,0.0,0.0,0.0,0.006269697691824892,0.0,0.0,0.0,0.0,0.0,0.0,0.0003960515672566045,0.0,0.010102671334257454,0.0,0.0,0.0,0.0,0.0016916100838756667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a,0.001368678661849068,0.0,0.0,0.0,0.0,0.0,0.0,0.060668699971180774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056161823252705204,0.0017263374891223842,0.0,0.0,0.0,0.0,0.006690379165293764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032453079573926014,0.0,0.0,0.0,3.0039586542640725e-05,0.0,0.0,0.0,0.018187092177410043,0.0,0.0,0.04189865206742761,0.0,0.0,0.0,0.053747391484340455,0.10696533525586688,0.005531977609243181,0.0,0.005856780638735484,0.0,0.0014803883743045132,0.0,0.0,0.0,0.019771680367534343,0.0,0.0,0.0,0.0,0.010505406656209136,0.0,0.2169815660199707,0.0,0.0,0.0,0.15620772749589068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027978119916152004,0.0,0.0,0.0,0.0,0.0,0.0,0.0054596948541249515,0.0,0.0,0.0,0.0,0.0,0.010128034350267212,0.00020276720916282488,0.0,0.009353576259714756,0.0,0.0,0.0,0.0,0.0038309860212661496,0.001551732392343285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14526205314941595
ä,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ɑ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ɒ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
æ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b,0.29272352915407196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3807771498663866e-05,0.16285539054628292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11052700749112893,0.0,0.0,0.0,0.03432338896920314,0.0,0.0,0.0,0.0,0.0,0.0,0.03156349936478731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1672361676961493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14441231874534544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05241599859815131,0.0,0.0,0.0,0.0,0.0,0.0,0.00385508389188242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3807771498663866e-05
ḇ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
β,0.4649322416934494,0.0,0.0,0.0,0.0,0.0,0.0,0.0023928496023646983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019393029457073373,0.10920308724517325,0.0,0.0,0.0,0.0,2.3459309827104887e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10738890061854381,0.0,0.0,0.0,0.04048294899164066,0.0,0.0,0.0,0.0001954942485592074,0.0,0.0,0.04792736997677528,0.0,0.0,0.0,0.0005630234358505173,0.0007037792948131466,0.0,0.0,0.0,0.0,0.08964584261931013,0.0,0.0,0.0,9.383723930841955e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.08111447361218634,0.0,0.0,0.0,0.01366895785925978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030027916578694255,0.0,0.0,0.0,0.0,0.0,0.0,0.03257716157990632,0.0,0.0,0.0,0.0,0.0,1.563953988473659e-05,0.002776018329540745,0.0,0.001243343420836559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010947677919315613
c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
